example_id,target_context_length,actual_context_prompt_length,prompt_sha256
5ac2b8085542990b17b1546b__natural_512,512,502,761d397f7cea670fd029bd9bbfe996970bead06a035842d9e0e39b2072c6bb56
5ac2b8085542990b17b1546b__natural_1024,1024,850,0cf6740b3d01af848b129fa0af52b0f202e5c4e92fe89e1effffb432cf1060fb
5ac2b8085542990b17b1546b__natural_2048,2048,2013,5f1d9a75195ab96592ea1b9673a782eb4349f52ef1eb94e48ba8ce5f77714780
5ac2b8085542990b17b1546b__natural_4096,4096,4000,de440694181d889849b955cf82e0ad430c4b93adc71f52e6038331ddbadd7166
5ab2b630554299545a2cfa17__natural_512,512,500,2fd1c16d6079e3edce7acde4f3f223feccf57402095a41b4cd176e06838670f4
5ab2b630554299545a2cfa17__natural_1024,1024,848,1d5c2c5c890ade09d475ede0ee5547859c938f22d96fadc8fd3c14b51b24e23f
5ab2b630554299545a2cfa17__natural_2048,2048,2011,43c6ea6f77a9c235f207a0b25eb2c351c376cbc05096bf5f22aa84a2c151eee2
5ab2b630554299545a2cfa17__natural_4096,4096,3998,ef80a1760893cc4fded2f22efc1d7ef188386976045621ba9824300d83e2efc0
5abc19705542993a06baf86e__natural_512,512,405,c1b3b0fd1fd77f823167c73a7a583154cedf59ff15ca3dc14743d7310ba23086
5abc19705542993a06baf86e__natural_1024,1024,1003,b58e6760f7d7059fa85c3d5df2aefd963b846725d14affb1a84f69416c056293
5abc19705542993a06baf86e__natural_2048,2048,1964,53ba6c74fce94399c045ef57f7cb60aeb6d3a980e9d1fe15a1af7f90fa4f2f8a
5abc19705542993a06baf86e__natural_4096,4096,3903,49a52fee2ac6d249baad21544299c8d2f033e8f99c3d741b0ae5633c10c49fdf
5a7455eb55429979e2882908__natural_512,512,448,e768f1911159cd24a2a22cad8c55c181b12b8fa911cfd2273228d632614e3d0b
5a7455eb55429979e2882908__natural_1024,1024,875,453656aabdb2c37e2b0b918c216a6d090bc16d294153abf32b82904e59697d4b
5a7455eb55429979e2882908__natural_2048,2048,2038,0660c70fbee879621b1145077052b2fd15e8ba1d76624163dffc68e25159c09b
5a7455eb55429979e2882908__natural_4096,4096,3866,2347730659e539b748592281d7e91701ff74e21a3847ac57bacee1f49023a4f0
5aba71b155429955dce3ee2a__natural_512,512,434,ccbad437eb35fa8fc262bb76600764f41eb29d31e64cc0bf1e6fce3df148a87e
5aba71b155429955dce3ee2a__natural_1024,1024,782,f0673c55c9e5d1e20b5c5bfd488b272493ef2a47bd313d06d2fb7c46ca474748
5aba71b155429955dce3ee2a__natural_2048,2048,1993,02d7a6660a2944b1e37a79455cdf1aa1785eeb3b7dbcca4a8b5fe274c2a813b1
5aba71b155429955dce3ee2a__natural_4096,4096,3932,64a10fb54a06133ccffe92a61732abaa82e0cdf114f898ba2a1a75f7f060fe12
5a7a5ea15542994f819ef1c7__natural_512,512,469,79e3842550bd74ba7efa4c6bb7b4217b0f318a2d3abc74b7e0496cb6dc3b4213
5a7a5ea15542994f819ef1c7__natural_1024,1024,817,6355f8e47f0eb35dd21f9b72db122c69e092af43041cae2e80453d297adee6aa
5a7a5ea15542994f819ef1c7__natural_2048,2048,2028,f45162caeef9f244b007b9d7c35289854dd267a0feb91806f96fe3902a753213
5a7a5ea15542994f819ef1c7__natural_4096,4096,3967,92c7f256ecf9e8702e0680750e92fcd22175f53a0e7b13211bebb78559353e63
5a7456ec55429979e288290f__natural_512,512,437,f09e0a84c6dc2aba7adc8e6eca1d7f4fbcd99c1c09f5997832186138a04daf98
5a7456ec55429979e288290f__natural_1024,1024,864,54912e28f16f5aff3499cfa5f30f8c951c6c5ba9abc4ad2dfe27399823791284
5a7456ec55429979e288290f__natural_2048,2048,2027,540270c00f13fb457f46f44fae3211bf47a5e19ffbd23eeceec2d235977ab5b8
5a7456ec55429979e288290f__natural_4096,4096,3855,45dfc964e9b80df268974764ab38190bebebff61915cf180f2597348231bd60b
5a776a805542993735360269__natural_512,512,414,f6f24bf53c58754fcd00eb481bbce29648a07f4144ddbed7afa42a91101c557f
5a776a805542993735360269__natural_1024,1024,1012,0718ce44527af08614dc60c12579a20c6bc865fd2799906e2797eee876d4678c
5a776a805542993735360269__natural_2048,2048,1973,42bfe0ff0385ac746f2e02cf352f207161ed98f9b0e57eb46c83c31550493d03
