global_order,benchmark,example_id,prompt_sha256,prompt_tokens
0,HotpotQA,5ac2b8085542990b17b1546b,d9f1848e7ba4eef503247c4b6c26e4489c4fd6d6184a76f4119132a7605d8e83,1406
1,HotpotQA,5ab2b630554299545a2cfa17,ef90d42fd9f829349abf8faefe48808cfb814758a1b4c180a1a2edfe86b72210,1625
2,HotpotQA,5a7351785542994cef4bc539,e8fd34199893e3a3b567850aead2da35b1ba3d86c707d415284dbf00121fa579,1786
3,HotpotQA,5a852cd05542997b5ce3ffb0,6aa6858c4dc8489e1256e678dfaedb9899e5594f386b86eb23573c7118c13a49,1492
4,HotpotQA,5abc19705542993a06baf86e,bbf5c182f1dda3c1f684f8f9c3c50635a42882cbeac102f57fdc2322451da383,1498
5,HotpotQA,5a7455eb55429979e2882908,8d585fbff56041f1a9e1451d50a87c5e61c77ebaa04a1821c8ccc864a0f12004,2210
6,HotpotQA,5a85db6e5542994c784ddb96,d4f7772b007c444f6ba3916d29811b7e010c970f2e9878dc5a4a0dfbdf22f68e,1432
7,HotpotQA,5ae0b7cf554299603e418446,2d27a264b524cd5f9ebffa8a7b38c3d6bf504bac4e164827da93bba53e282e9a,1483
8,HotpotQA,5aba71b155429955dce3ee2a,0573b40ab17e6997e26a96e0a6a21420abdbd90257d5c3a8287f23e81c499ee3,1468
9,HotpotQA,5adf1b8a5542995534e8c750,49f585b2c6c6935132399da8d06ca7f30cca96ee84055b024f805fc6f9bffce9,1604
10,HotpotQA,5a7c6d98554299683c1c6304,66ef7bf38034251d16baab9793ffe3ea37c7c78c181c68fcca6f5ed1acd6fea1,1342
11,HotpotQA,5a8f03855542997ba9cb3186,46af12b0b926fd5f4104774329329e8ee7231010b1a0999446809906d61bcde4,1395
12,HotpotQA,5abd44d955429933744ab760,3905c4679d52564829516ee8bb187127eac0e30ab6dac713834655e3ea9aad07,1399
13,HotpotQA,5ab953a45542996be202047f,0461040571e530b70f8a6f8f362c7602bb23af13ba609568d8bd42cc679d815c,1922
14,HotpotQA,5a7a5ea15542994f819ef1c7,40f9e5619195babc1cd17ff8f1f80e3f0c52d08d56468584061cd4a743f452dd,1183
15,HotpotQA,5ae4843455429970de88d997,9ecb61e5a010b812056cb477abe03fcc6b8152a680935ed4f057ea4aa38a9a2c,1806
16,HotpotQA,5a8bbddf5542997f31a41db2,2dfde49fbdd832c945d3a5727866ccad8058fc231165bcca5e76870540ecf961,1859
17,HotpotQA,5a7265815542990c210a411b,7a0f907b0e7d8a6c88e22529c757c601ae61951f826eff0a253d9c9c9c0b8eca,1420
18,HotpotQA,5a758ce05542992db947367c,96fb6d22223000decf003f26fbdcd59aaffadbc694699ed2a41667b92162f00c,1407
19,HotpotQA,5a7456ec55429979e288290f,81f31bcca757499acaaa76cb8815a2bc4108392a5a95d26797ae3dda6f03a278,1622
20,HotpotQA,5ae7b6055542993210983f00,834a93e800c8bb666a4e0e21d2fd977ee14d9556b36bf96af4fe2b77b76b436c,1547
21,HotpotQA,5a776a805542993735360269,79153fcc4f5e5f47ea9e0df05fcdbdc3dfee97bc503b4ff57e36e22e8390eded,1839
22,HotpotQA,5ac27d2555429963665199dc,ae02c0ccb18a30ec3730c39f33a7c6fcab772e454389c3b7a26ffd538da9dafc,1415
23,HotpotQA,5ae26c435542994d89d5b420,82cf9f9df2fcf3b0545c58fda4667a8d0589ced2fef963d8105786ba888e150a,1978
24,HotpotQA,5a8b3e985542995d1e6f131c,9704c8ab956d1945d79f1f59bea29b8b905f170856d2fddd926341d1e2bc2fbe,1713
25,HotpotQA,5a8b42be55429949d91db515,9df344f21b11c73d27948a7cf9c82fc0fdce4cc51332a0d3fdf0c091020d7cb7,938
26,HotpotQA,5ac048ea554299294b218f74,d56e78932e63243dbf8b3ff45383d4823c9004c8b6474c886cddc1075544d1d2,2001
27,HotpotQA,5a75fa8c55429976ec32bcda,f15b506756a8f81e0c94a152dbf5dfc5fd964d7210779f83ca214d09120a132d,1664
28,HotpotQA,5abba17a5542992ccd8e7f60,7beec4633b3021104452ce5b5304257e4018085672b52dd49981ed44e43e8aa6,1817
29,HotpotQA,5a81e04455429903bc27b9f9,d6482f601b66307e2fe6dbd30d874d7a7593a752a8f61bc7df24b5e7a2a99559,2179
30,HotpotQA,5a806cdf5542996402f6a508,8a293fa72da345d088872ebbcd4494bcffdf8944115802533f761a65acb9cf50,1756
31,HotpotQA,5a8b128455429971feec463b,ea3124eda30e747b731a729831d3a1fd3da98003b9b696b5047c6b2c537442b8,1712
32,HotpotQA,5a77dbaf5542997042120b5b,c764de6a9323225df535f1da6558a6a5adea6548db36de3a0c60e3090b0022d3,1359
33,HotpotQA,5a810d7655429903bc27b915,ee4bc8eb660c19610f632008fce59773ca9791542e7f31f2b9f1626cd4b2816f,1324
34,HotpotQA,5ae2bb545542992decbdcd88,49065bfaebec39f44c69983d6a2ded95ce03fdbca5281a52cdeabe4f32299c72,1167
35,HotpotQA,5a7e2e3a55429934daa2fbe6,4281f6b5efd4394366dbd12a9048657211aed0124b666b6fe3c3181ed5e0f8a9,1522
36,HotpotQA,5ac19ba355429963665198b7,b96824144ea901dfc922ed699202525b6a359cab993a83b6655585f1d1b5fe91,1421
37,HotpotQA,5abd68d655429933744ab7c0,a8181ece67bb365d9c23d8759b49a33ea6bed40a9af0288ee4a5ea0f02666c08,1481
38,HotpotQA,5ae0616255429924de1b70ca,fc2a67e0ab4c9ae3b5d401a56c225a09238d2bc6939bc4072891f39212ae09ef,1240
39,HotpotQA,5a716a9b5542994082a3e821,beb2ca06cc995bc605b4cf99fd581d8b4e31c91f2efd1653f0ebbc850cde73ec,1474
40,HotpotQA,5adf0e7c5542992d7e9f9297,07f1357abd398dce126ff544a34ac9ae4875ed29d23a96db3ee3d440560dbfba,2005
41,HotpotQA,5a8f45385542997ba9cb320a,6ee122540398b5e8910d5406fa59f7d0bf8d1668b2bc0fd8948e3fd0992527b1,1581
42,HotpotQA,5a7182b65542994082a3e85b,e6dcfa5d35b1a2f32afab26a40c10b9e4376b9ed35881fb1776ded79fb9d232f,1977
43,HotpotQA,5a72b8de5542994cef4bc3df,d1b1c32607ed5529527bf1023d461d902d581df75a28ed2c664d5d1e22ee5be1,1690
44,HotpotQA,5a875fee5542996e4f3087ab,b38833676562b74fbab84e8d30b592e305a20860ef661d0359d8f556bfef6058,1405
45,HotpotQA,5ae3de615542992f92d823a5,cd3ce3fdc1697fa4996b04d3d88a636c2ddbcd5a094ae9996469ff5295dd5094,1683
46,HotpotQA,5a74f8235542993748c89766,c40edc3c04ba7bb9aee8aaf9ba3a339604152a5dd412761c82fe06bf3ac537b0,1632
47,HotpotQA,5ab92e3c554299753720f777,e265dd5060e980a767a3d100d544ffc72c8e47d18c51a8332aeca7d2057f4231,1922
48,HotpotQA,5ac2509755429951e9e68543,c000a3389297c0e0d45e5ad03cec43459ddde79976d46861ffdc92d7b428ebf0,986
49,HotpotQA,5a89a82c5542993b751ca973,c3831c1fe101b6fb0a27136df3b7980010f931e05ec0d367ee2ad1ace649b313,1286
50,HotpotQA,5a72a0be5542992359bc3143,8f7164c2a7cbfca2f4359bbba5578adffa54b4dcf825e4d2283a933fee98bb12,1656
51,HotpotQA,5aba510f5542994dbf0198d6,975b88a2a223f52c8440921898dc23451b639674e6bbb30f018ed87c2a39c5cd,1712
52,HotpotQA,5abffafe5542997d64295988,e3d32d44121fe1728deee4e79c723cc2d5d0d5f49f04d001aac87e8eeedfb3d0,1701
53,HotpotQA,5a75377c55429929fddd8514,cb9c59f75709c74882d0b8188926fdb0ca15db620866303efc415f32a35382a5,1034
54,HotpotQA,5a79caec5542994bb94570ad,92441a4426225105ad9917d5a5e7f59c3f6135857f172fc9066a944e4cc662fe,1429
55,HotpotQA,5ab3fc215542992339550027,670cb9d63c0ea4683f2f730e17682b9ce403a2c4db221d5a5d93daedf7bbb9e8,1629
56,HotpotQA,5ae684fe5542991bbc97610e,4a076b7fca685e7bdb36eab44fe96b7956a8f5903a74e5773d96048698a25828,1703
57,HotpotQA,5a7e30b255429934daa2fbeb,2f4111b15ed49a20ed6b011c4620859969bf2aec75201c7b93f3183e81d3361e,1493
58,HotpotQA,5ae5d19155429929b08079bc,718f0c92269fccbe5e9054f14d908522af3ac68a38a97fa7a152ebf0137bc77d,1531
59,HotpotQA,5a82accd55429966c78a6a78,6c30a2492053bd5e79c4ac4be82325915c6253c9d0e46f71da7cc9c339780de8,1470
60,HotpotQA,5ac3b4cc554299741d48a2eb,bd654a55f41f401e26f68c1bf55c72d8fed53493651d7b65f894ff43eb3ff830,1830
61,HotpotQA,5ac298805542990b17b15429,ead7dff71c312af07ad616765283bdc75e164bd14d549780a0f4f3c01cbb4ee6,1247
62,HotpotQA,5a8b99a45542997f31a41d7f,74841e9b111c2393c00350f0e2f286ce0c4402b5f36639dc68f753c154acbe98,1949
63,HotpotQA,5a7568805542992db9473658,e0f8ac4ef7a7cfeb4f8a125f78512ada4e0d85844ddf12bd555dbb6a863f5ae5,1441
64,HotpotQA,5a80c79155429938b61421da,fa75d27f9aca5c49897ae7b0065a8b3eb5ac9bb0763fbb247a9189ef15fbf13a,2024
65,HotpotQA,5a824e0b554299676cceb254,4fc6f31e04d47aee47c7b6a56797c952c329b4aaf76b4f2c668727ee11917b2a,2172
66,HotpotQA,5ac3b39e554299204fd21e09,64fb561c6d1aef55764f47caacf715324ad66734ce747a9f4db41d4a06781abf,1336
67,HotpotQA,5ae52bc75542992663a4f12d,3658202d0396bd05eb25e655fdad7354bee839aa26caecce459e4d4da0993ede,1071
68,HotpotQA,5a7bb7f2554299042af8f7b6,40569fb38e009fde6439137709b34af6081de9c5e0e885be85f29dedc471a9b0,1298
69,HotpotQA,5a7133565542994082a3e65c,f8536dee114d0fd9909d82942af6db1e607439175a744334cace8e43c05929ea,1605
70,HotpotQA,5a872c3f5542994775f607a8,ea9e317fde43491b2c09fa867ea686c308e89ab931e84b8398d3120eb0109413,1460
71,HotpotQA,5ae54b4f5542990ba0bbb261,d8489e0b0dc1bbfd9781395738e6da7753ee9f154c0e01acb3effac39e3e7e4b,1041
72,HotpotQA,5ac29aa655429967731025b2,4cd1791790a302af7696b2e454e61f50c0c5c19fd6bcadc0214298d80d5f220e,1926
73,HotpotQA,5ade908b55429975fa854f13,e68a57b843ea631ee471e73ee8b1c0f599029e40496f04277ae84299f941f2c2,2286
74,HotpotQA,5a778a165542995d831811a9,91f3ce2fa8d8589f1f3849e5885747962608472a3e5bdb93d8646cf7518631b8,1589
75,HotpotQA,5ab42a2b5542996a3a969f5a,cde437735d895bdc87afa5207bcd400050f0864d2b44d4fdef6feaea17c9bc0f,1608
76,HotpotQA,5a7943ea5542994bb9456fd3,dd45586936edfe1638a8db37a04ab59b4f35d25afc1113b49de884ca59da3105,1832
77,HotpotQA,5ae0d4c9554299603e418468,16a63d3ac192aad123ae422e84dd40424deecc37967473b0ec7acfbf3d84f803,1878
