benchmark,canonical_order,example_id,prompt_sha256,prompt_tokens
HotpotQA,0,5ac2b8085542990b17b1546b,7d6df3e5b8033fa5f98f3325c6712a47ae620610bc83f2860d2c9e07b8c13082,1140
HotpotQA,1,5ab2b630554299545a2cfa17,a13b11cb0905a2642e5e1682fcf0bd9655da1feacb7b861c533d91e501ea6f01,1433
HotpotQA,2,5a7351785542994cef4bc539,1fcbda2b1fa416070d6b81606cbe0aed6ebc0fc92d4a3f6dc71b081437c373ff,1543
HotpotQA,3,5a852cd05542997b5ce3ffb0,578765bb629e9c9eee8ab3b69aba0fb8288d096ff6e4035eb7a62eabe7c48cf9,1298
HotpotQA,4,5abc19705542993a06baf86e,d5d28cdd2566154f29a35bcf4553d33ea49dfd9460e88f5df3b4a9bb0667d15e,1314
HotpotQA,5,5a7455eb55429979e2882908,19d263c3929a9f6801a1c38528782b9ba4190f8967c8ef7e55e93b698ddec779,1950
HotpotQA,6,5a85db6e5542994c784ddb96,69554f56ced85e4ffa6c4d880ff9a1cdff1615a2b60f06a0479254ac9b84cb09,1262
HotpotQA,7,5ae0b7cf554299603e418446,dcf790f98c8032fceb7cd726b87a19fe7eff624660ee5d7bed0f9144d782386a,1294
HotpotQA,8,5aba71b155429955dce3ee2a,c46afe24a49fcf5a100940235ee01702f2b3773c3516a2f74e5934d168308748,1304
HotpotQA,9,5adf1b8a5542995534e8c750,9530860ffea233b1d3162c1d372c0571e045a9899b64d25d0460171027f5f882,1392
HotpotQA,10,5a7c6d98554299683c1c6304,8fe8bbfb1203be019f9b94a19e1217783802fa2b49c868109c7d4b10d469c0f1,1185
HotpotQA,11,5a8f03855542997ba9cb3186,db68acf83da66d37ae50103b5d59d5733c83d2dc6a08422f22fec20b0af784e9,1209
HotpotQA,12,5abd44d955429933744ab760,c6554068a5e321f10b6095a006dfb29f37c6f4c2600e5603b98429b43a3f5399,1240
HotpotQA,13,5ab953a45542996be202047f,4e68e3549f97bd04f4546d6c1ee432cbabe3c0dc3de8230f56e0ec1b6aa8b269,1729
HotpotQA,14,5a7a5ea15542994f819ef1c7,40e07d8afdc0fac44e3cedf6c2df0363ac12b45e4bf4882dbb087d9f41c2ec0d,1073
HotpotQA,15,5ae4843455429970de88d997,92b5e3b83cca3dccf3cfa79e51dbb7e106d9194e47608b0a1e72567975e440e7,1562
HotpotQA,16,5a8bbddf5542997f31a41db2,36703f1bfe0395c7b3e33391422ed6f5cffd21ba4f417b2dda11f4d06b801dda,1653
HotpotQA,17,5a7265815542990c210a411b,00b40a54b36072f176cd0b75bb560f2e445958fad8d5caaa7d8547099b8fea2c,1238
HotpotQA,18,5a758ce05542992db947367c,29fa4295f810781014c22842ad1cc7b695b481223145c948b011d275415df21b,1234
HotpotQA,19,5a7456ec55429979e288290f,8b3db4b0091790d777446fd483cd064674ab5fc19cf6e423a2afa12192f24d7d,1421
HotpotQA,20,5ae7b6055542993210983f00,53936df90b709fb956b4a59f6060cb477eba293d3e0f31b0b84084057a787782,1325
HotpotQA,21,5a776a805542993735360269,189c3a80293b5212dc6dc25f42c64315077518e344895992cee035fa08f63af1,1607
HotpotQA,22,5ac27d2555429963665199dc,d3efc573b44dbd2251bf698395ed3998d601ef7b29739221b759945e188ce047,1287
HotpotQA,23,5ae26c435542994d89d5b420,f66f27fc5708b894ac8d12f434c2b68d927cff6b7506a190ed717b6bbf57e008,1783
HotpotQA,24,5a8b3e985542995d1e6f131c,62c0e6ebb60a7a3527c33e8b6c5c74000c049565c6184aaf317f32b21fa25cb5,1469
HotpotQA,25,5a8b42be55429949d91db515,5ee7840e24b6c4fd1a42a06994fbbe0b6d6b7d0c3729929d528865f45d18af27,818
HotpotQA,26,5ac048ea554299294b218f74,2107a5b5e3abd1627c9adfbb6cb6c280df0426c34038afedc996ce9cfde3777d,1799
HotpotQA,27,5a75fa8c55429976ec32bcda,dcc87be92846a48dfaa216eb5e7e44a303e839434444bdf9f7bb2af7c9bcdef8,1428
HotpotQA,28,5abba17a5542992ccd8e7f60,3d7749aa64c0c2da528f1d68a3d7630a172d1093b07c6eb59bf6b2465a510469,1549
