benchmark,example_id,setting,epsilon_A,epsilon_H,epsilon_O,gamma_S,tau_S,tau_A,tau_H,tau_O,tau_route,tau_repr,G,positive_G,censored_S,censored_A,censored_H,censored_O
HotpotQA,5a7133565542994082a3e65c,default,0.006291766739873724,0.04214734733104706,0.04224153848534281,0.9,14,11,19,19,14,19,5,1,0,0,0,0
HotpotQA,5a7265815542990c210a411b,default,0.00584771089615639,0.04127113819122315,0.04131106132810766,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a72b8de5542994cef4bc3df,default,0.006402879173507576,0.041548559069633485,0.04256306375292215,0.9,14,11,18,19,14,18,4,1,0,0,0,0
HotpotQA,5a7351785542994cef4bc539,default,0.006278870304496112,0.04209195673465729,0.04262379621578889,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a7456ec55429979e288290f,default,0.006094533388227733,0.041332073509693146,0.04144034381955863,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a75377c55429929fddd8514,default,0.005849815621252426,0.041599813103675845,0.04140983003106985,0.9,14,11,18,19,14,18,4,1,0,0,0,0
HotpotQA,5a7568805542992db9473658,default,0.006226612289478494,0.04198607355356217,0.04229122998700901,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a75e67f55429976ec32bc8b,default,0.0063390011425045415,0.04207819700241089,0.042338864095509056,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a778a165542995d831811a9,default,0.006411471182522788,0.04175116866827011,0.042666772377084605,0.9,14,12,19,19,14,19,5,1,0,0,0,0
HotpotQA,5a7bb7f2554299042af8f7b6,default,0.006244763085110621,0.041339680552482605,0.041072515330531384,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a7e2e3a55429934daa2fbe6,default,0.005694345751332797,0.04140305668115616,0.04149149998006496,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a824e0b554299676cceb254,default,0.00622786114923656,0.041773287951946264,0.04174038259143179,0.9,15,12,19,20,15,19,4,1,0,0,0,0
HotpotQA,5a8a12ae5542992d82986e92,default,0.006098053246016868,0.041433300077915194,0.04118095346472481,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a8b3e985542995d1e6f131c,default,0.006260986851993948,0.04172322154045105,0.04212977147915147,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5a8bae135542996e8ac889b6,default,0.006241527046288619,0.04193620085716248,0.042780535888265483,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ab3fc215542992339550027,default,0.005936688564781269,0.04163514524698258,0.039704919840124524,0.9,14,11,18,20,14,18,4,1,0,0,0,0
HotpotQA,5ab69f13554299710c8d1ef3,default,0.004981035210975361,0.03997003436088562,0.03615001678466797,0.9,11,11,19,21,11,19,8,1,0,0,0,0
HotpotQA,5ab953a45542996be202047f,default,0.006172159340825271,0.041640888154506686,0.042319458316672935,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5aba510f5542994dbf0198d6,default,0.0065209028311073785,0.04168856143951416,0.04247950378466736,0.9,14,11,19,19,14,19,5,1,0,0,0,0
HotpotQA,5aba71b155429955dce3ee2a,default,0.005953067923599685,0.04141495972871781,0.04138765319504522,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ac19ba355429963665198b7,default,0.005991574901960452,0.04178101569414139,0.04173607207496058,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ac298805542990b17b15429,default,0.005868991491257806,0.04137909412384033,0.04049999654293061,0.9,15,12,20,21,15,20,5,1,0,0,0,0
HotpotQA,5adf0e7c5542992d7e9f9297,default,0.006236512720563703,0.04185106158256531,0.04188433050431989,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ae0a74e554299603e41842f,default,0.006195147070631554,0.04102825969457627,0.04176071580160748,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ae0b7cf554299603e418446,default,0.005899576546137476,0.0416510209441185,0.04062278806485913,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ae3de615542992f92d823a5,default,0.006199686047515239,0.041371996700763705,0.042619590122591366,0.9,14,12,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ae4843455429970de88d997,default,0.006192941160406917,0.04210762679576874,0.041958784325556324,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ae52bc75542992663a4f12d,default,0.006085566419536587,0.04171744585037232,0.04112640975551172,0.9,14,12,19,21,14,19,5,1,0,0,0,0
HotpotQA,5ae5d19155429929b08079bc,default,0.006168599236354402,0.041801384091377264,0.042270539795810524,0.9,14,11,19,20,14,19,5,1,0,0,0,0
HotpotQA,5ae684fe5542991bbc97610e,default,0.006294660677773539,0.041840122640132905,0.04267556065524167,0.9,14,11,19,20,14,19,5,1,0,0,0,0
GSM8K,test-0005,default,0.004242111966701817,0.03826698064804077,0.03420721900903366,0.9,9,11,21,23,11,21,10,1,0,0,0,0
GSM8K,test-0100,default,0.004992681394161826,0.0395533099770546,0.035599145835096185,0.9,11,12,22,23,12,22,10,1,0,0,0,0
GSM8K,test-0175,default,0.004246522274360442,0.03850061595439911,0.034302849717099564,0.9,10,11,21,23,11,21,10,1,0,0,0,0
GSM8K,test-0241,default,0.004631816376138224,0.03817756474018097,0.035355716219002555,0.9,10,11,22,23,11,22,11,1,0,0,0,0
GSM8K,test-0324,default,0.004492233010506342,0.038538920879364016,0.034966585664925255,0.9,10,12,22,23,12,22,10,1,0,0,0,0
GSM8K,test-0343,default,0.004551986725683409,0.03886869102716446,0.03501962564716285,0.9,10,11,21,23,11,21,10,1,0,0,0,0
GSM8K,test-0410,default,0.004580015239930204,0.038741233944892886,0.03543300007385287,0.9,11,11,21,22,11,21,10,1,0,0,0,0
GSM8K,test-0453,default,0.004451062823857435,0.038595616817474365,0.03504390925676985,0.9,10,11,21,22,11,21,10,1,0,0,0,0
GSM8K,test-0466,default,0.004336767492403107,0.037984180450439456,0.03435610848902301,0.9,10,12,21,22,12,21,9,1,0,0,0,0
GSM8K,test-0521,default,0.004681716105181047,0.03884494006633759,0.035165890792215417,0.9,10,11,21,23,11,21,10,1,0,0,0,0
