benchmark,recurrence_step,fraction_S,fraction_A,fraction_H,fraction_O
HotpotQA,1,0.0,0.0,0.0,0.0
HotpotQA,2,0.0,0.0,0.0,0.0
HotpotQA,3,0.0,0.0,0.0,0.0
HotpotQA,4,0.0,0.0,0.0,0.0
HotpotQA,5,0.0,0.0,0.0,0.0
HotpotQA,6,0.0,0.0,0.0,0.0
HotpotQA,7,0.0,0.0,0.0,0.0
HotpotQA,8,0.0,0.0,0.0,0.0
HotpotQA,9,0.0,0.0,0.0,0.0
HotpotQA,10,0.0,0.0,0.0,0.0
HotpotQA,11,0.03333333333333333,0.5333333333333333,0.0,0.0
HotpotQA,12,0.03333333333333333,1.0,0.0,0.0
HotpotQA,13,0.03333333333333333,1.0,0.0,0.0
HotpotQA,14,0.9333333333333333,1.0,0.0,0.0
HotpotQA,15,1.0,1.0,0.0,0.0
HotpotQA,16,1.0,1.0,0.0,0.0
HotpotQA,17,1.0,1.0,0.0,0.0
HotpotQA,18,1.0,1.0,0.1,0.0
HotpotQA,19,1.0,1.0,0.9666666666666667,0.16666666666666666
HotpotQA,20,1.0,1.0,1.0,0.9
HotpotQA,21,1.0,1.0,1.0,1.0
HotpotQA,22,1.0,1.0,1.0,1.0
HotpotQA,23,1.0,1.0,1.0,1.0
HotpotQA,24,1.0,1.0,1.0,1.0
HotpotQA,25,1.0,1.0,1.0,1.0
HotpotQA,26,1.0,1.0,1.0,1.0
HotpotQA,27,1.0,1.0,1.0,1.0
HotpotQA,28,1.0,1.0,1.0,1.0
HotpotQA,29,1.0,1.0,1.0,1.0
HotpotQA,30,1.0,1.0,1.0,1.0
HotpotQA,31,1.0,1.0,1.0,1.0
HotpotQA,32,1.0,1.0,1.0,1.0
GSM8K,1,0.0,0.0,0.0,0.0
GSM8K,2,0.0,0.0,0.0,0.0
GSM8K,3,0.0,0.0,0.0,0.0
GSM8K,4,0.0,0.0,0.0,0.0
GSM8K,5,0.0,0.0,0.0,0.0
GSM8K,6,0.0,0.0,0.0,0.0
GSM8K,7,0.0,0.0,0.0,0.0
GSM8K,8,0.0,0.0,0.0,0.0
GSM8K,9,0.23333333333333334,0.0,0.0,0.0
GSM8K,10,0.8,0.03333333333333333,0.0,0.0
GSM8K,11,0.9333333333333333,0.6333333333333333,0.0,0.0
GSM8K,12,0.9666666666666667,0.9666666666666667,0.0,0.0
GSM8K,13,1.0,1.0,0.0,0.0
GSM8K,14,1.0,1.0,0.0,0.0
GSM8K,15,1.0,1.0,0.0,0.0
GSM8K,16,1.0,1.0,0.0,0.0
GSM8K,17,1.0,1.0,0.0,0.0
GSM8K,18,1.0,1.0,0.0,0.0
GSM8K,19,1.0,1.0,0.0,0.0
GSM8K,20,1.0,1.0,0.1,0.0
GSM8K,21,1.0,1.0,0.5666666666666667,0.06666666666666667
GSM8K,22,1.0,1.0,0.9,0.3
GSM8K,23,1.0,1.0,0.9666666666666667,0.8333333333333334
GSM8K,24,1.0,1.0,1.0,0.9666666666666667
GSM8K,25,1.0,1.0,1.0,0.9666666666666667
GSM8K,26,1.0,1.0,1.0,1.0
GSM8K,27,1.0,1.0,1.0,1.0
GSM8K,28,1.0,1.0,1.0,1.0
GSM8K,29,1.0,1.0,1.0,1.0
GSM8K,30,1.0,1.0,1.0,1.0
GSM8K,31,1.0,1.0,1.0,1.0
GSM8K,32,1.0,1.0,1.0,1.0
