benchmark,method,condition,N,F1,EM,delta_F1_vs_Full,delta_F1_CI_low,delta_F1_CI_high,answer_changes,full_correct_to_wrong,full_wrong_to_correct,block_density,future_mass,recurrence1_mass,mean_active_blocks_per_local_unit,attention_work_saving,adjusted_loss_vs_Full
HotpotQA,Full,full,100,0.20746498264543803,0.11,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,0.0,0.0
HotpotQA,Static-95,b32_static_95,100,0.2176915555393484,0.12,0.010226572893910359,-0.029853664638165404,0.05288591532693313,45,2,3,0.41702400220802227,0.9704504479418199,0.963522841334343,9.134492519388203,0.3721020699191825,-0.06943207651376725
HotpotQA,MassMatched,b32_static_massmatched,100,0.20142192657869779,0.1,-0.006043056066740276,-0.057105700837689996,0.045386409696684435,61,4,3,0.3264656760351688,0.9594940783381464,0.937711124420166,7.031469949045415,0.42996594749427897,-0.0035147689282894134
HotpotQA,SizeMatched,b32_static_sizematched,100,0.20763333771657946,0.11,0.00016835507114144833,-0.048122417756392206,0.047638584027771325,50,3,3,0.33755276854041866,0.961345301727454,0.9393371856212616,7.285057761011513,0.4234934654229171,-0.05360376991331577
HotpotQA,WISE,b32_wise_12,100,0.21591846837539436,0.12,0.008453485729956321,-0.009465308261999436,0.033279071671792254,36,0,1,0.33755276854041866,0.965670468027393,0.9344331604242325,7.285057761011513,0.4235476147745934,-0.03908668547868729
2WikiMultiHopQA,Full,full,100,0.21715672073025016,0.11,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,0.0,0.0
2WikiMultiHopQA,Static-95,b32_static_95,100,0.21407665224800776,0.11,-0.0030800684822423975,-0.029521389751552798,0.017621794871794872,32,1,1,0.46696039564098685,0.9724066872745751,0.9664214861392975,7.737451013018435,0.34219380362951723,-0.04798935189843178
2WikiMultiHopQA,MassMatched,b32_static_massmatched,100,0.22681993006993006,0.13,0.009663209339679926,-0.02105337089381207,0.044796570259805546,41,0,2,0.3885907839410534,0.9628449432253836,0.9445516365766525,6.330657326563155,0.3928657034982286,-0.08593110971152783
2WikiMultiHopQA,SizeMatched,b32_static_sizematched,100,0.2128323310676252,0.11,-0.004324389662624956,-0.025425937175569527,0.01535663115479292,32,0,0,0.39520215312197576,0.9640976477116345,0.945361333489418,6.485031099566668,0.389426971870977,-0.07927725724875927
2WikiMultiHopQA,WISE,b32_wise_12,100,0.20851886703804862,0.11,-0.008637853692201517,-0.023366067115251892,-0.00023809523809523864,23,0,0,0.39520215312197576,0.9681118875741959,0.9410827624797821,6.485031099566668,0.38955977320530283,-0.0248240227997303
